1	27	5	72.78
2	69	24	115.72
3	96	5	286.63
4	55	11	131.97
5	41	17	60.94
6	47	17	79.41
7	46	21	58.07
8	63	20	115.28
9	27	1	91.07
10	76	8	210.73
11	31	21	11.50
12	65	1	208.86
13	66	8	179.83
14	58	4	173.30
15	82	7	233.85
16	94	13	243.68
17	60	8	161.26
18	9	13	-19.77
19	71	3	218.21
20	2	27	-106.10
21	76	1	242.96
22	1	5	-8.10
23	28	6	71.14
24	20	11	23.58
25	72	23	129.31
26	74	27	117.21
27	71	8	195.05
28	63	23	101.38
29	74	8	204.66
30	33	3	100.39
31	53	1	171.62
32	67	23	114.16
33	2	26	-101.44
34	27	26	-23.93
35	96	18	226.84
36	92	15	228.17
37	75	11	193.77
38	17	11	14.14
39	89	9	246.49
40	42	23	36.58
41	64	17	132.41
42	35	20	28.33
43	22	0	80.43
44	95	2	297.31
45	56	7	153.49
46	29	24	-8.45
47	60	21	101.34
48	5	4	8.98
49	86	22	177.25
50.1	50	15	98.14
50.2	50	15	98.06
50.3	50	15	97.99
50.4	50	15	98.20
50.5	50	15	98.07
50.6	50	15	97.98
