1	0	50	64	91	31	19	-994.25
2	98	61	48	29	60	10	4334.13
3	16	4	21	87	30	53	-143.99
4	73	55	37	1	49	85	3288.41
5	15	62	43	14	82	5	7970.10
6	88	32	40	61	64	77	2678.26
7	30	63	9	70	52	54	6646.63
8	48	7	92	24	91	17	-287.37
9	60	90	30	1	58	14	8362.95
10	37	82	87	62	40	69	-1949.84
11	62	1	19	56	68	45	-167.04
12	58	31	28	59	66	100	3279.80
13	52	96	100	66	4	62	-11690.68
14	47	27	0	77	78	85	4719.78
15	34	91	38	56	76	38	11279.82
16	31	57	15	1	29	30	2512.43
17	88	24	5	77	41	92	1948.58
18	59	78	32	68	64	70	8064.98
19	1	22	35	48	53	88	1308.23
20	98	92	71	22	96	61	11690.76
21	74	55	34	71	66	43	5664.76
22	33	57	17	64	39	100	3668.00
23	81	36	93	29	7	91	-4426.97
24	26	87	32	8	99	82	16047.30
25	78	51	76	85	88	53	4840.26
26	35	28	38	63	36	30	564.09
27	3	54	2	47	90	67	10905.82
28	92	82	63	45	95	36	11007.74
29	97	96	96	95	53	14	-373.47
30	60	96	66	42	98	5	13297.30
31	38	8	10	27	17	80	-0.19
32	75	56	5	8	83	88	10183.83
33	27	22	39	54	96	83	3341.25
34	93	92	57	31	20	33	-2714.81
35	73	73	50	70	41	34	1915.04
36	43	70	99	37	12	86	-7428.71
37	47	90	74	13	98	60	11481.79
38	4	57	44	36	0	77	-3542.88
39	89	31	9	97	12	85	312.99
40	55	45	81	59	85	32	3546.15
41	4	11	62	64	3	98	-1443.10
42	90	14	11	82	96	78	2680.17
43	75	90	20	72	19	74	1463.02
44	64	14	27	2	86	31	1940.35
45	76	28	8	45	73	2	4234.06
46	87	94	19	76	93	22	17662.77
47	97	18	29	50	45	71	842.84
48	36	72	6	33	59	79	9072.07
49	42	99	56	85	3	0	-6614.40
50	62	61	86	49	72	99	2882.48
